environment,customer,agentType,port,connector,apiUrl
qa-test,widgets,windchill,8807,WC-consvwc02,http://conqscic02.fbc.com
qa-test,apriori-internal,enovia,8808,EN-consvwc02,http://conqscic02.fbc.com
qa-test,apriori-internal,filesystem,8809,FS-conqcic01,http://conqscic02.fbc.com
qa-test,apriori-internal,teamcenter,8810,TC-consvtc12,http://conqscic02.fbc.com
qa-test,apriori-internal,windchill,8811,WC-consvwc02,http://conqscic02.fbc.com
staging,apriori-internal,windchill,8812,WC-consvwc02,http://conqscic02.fbc.com
staging,apriori-internal,filesystem,8813,FS-consvwc02,http://conqscic02.fbc.com
development,apriori-internal,windchill,8811,WC-consvwc02,http://conqscic02.fbc.com
